year_month,total_amount,avg_amount,std_amount,transaction_count,min_amount,max_amount,year,month,date,cat_Barber,cat_Business lunch,cat_Clothing,cat_Coffe,cat_Communal,cat_Events,cat_Film/enjoyment,cat_Fuel,cat_Health,cat_Learning,cat_Market,cat_Motel,cat_Other,cat_Phone,cat_Rent Car,cat_Restuarant,cat_Sport,cat_Taxi,cat_Tech,cat_Transport,cat_Travel,cat_business_expenses,cat_joy,month_sin,month_cos,quarter,is_year_start,is_year_end,is_mid_year,total_amount_lag_1,transaction_count_lag_1,total_amount_lag_2,transaction_count_lag_2,total_amount_lag_3,transaction_count_lag_3,total_amount_lag_6,transaction_count_lag_6,total_amount_lag_12,transaction_count_lag_12,rolling_mean_3,rolling_std_3,rolling_max_3,rolling_min_3,rolling_mean_6,rolling_std_6,rolling_max_6,rolling_min_6,rolling_mean_12,rolling_std_12,rolling_max_12,rolling_min_12,ewm_3,ewm_6,mom_change,mom_change_abs,yoy_growth,time_index
2022-07,2861.38,34.89487804878049,112.96419335722776,82,1.0,733.25,2022,7,2022-07-01,0.0,0.0,312.5,207.1,159.0,0.0,0.0,0.0,0.0,0.0,148.53,675.0,20.0,17.0,95.0,170.0,0.0,0.0,0.0,64.0,993.25,0.0,0.0,-0.4999999999999998,-0.8660254037844388,3,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2861.38,0.0,2861.38,2861.38,2861.38,0.0,2861.38,2861.38,2861.38,0.0,2861.38,2861.38,2861.38,2861.38,0.0,0.0,0.0,0
2022-08,1307.52,10.544516129032258,24.345609923109194,124,0.42,220.0,2022,8,2022-08-01,0.0,0.0,0.0,244.1,150.0,25.3,0.0,0.0,0.0,252.3,145.49,0.0,14.0,21.0,0.0,338.63,68.3,0.0,0.0,48.4,0.0,0.0,0.0,-0.8660254037844384,-0.5000000000000004,3,0,0,0,2861.38,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2084.45,1098.7449430145286,2861.38,1307.52,2084.45,1098.7449430145286,2861.38,1307.52,2084.45,1098.7449430145286,2861.38,1307.52,2084.45,2417.42,-0.5430456632813538,-1553.8600000000001,0.0,1
2022-09,1338.48,10.296,21.87385447188868,130,0.6,200.0,2022,9,2022-09-01,0.0,114.5,0.0,288.7,171.5,212.5,0.0,0.0,10.0,0.0,133.38,0.0,0.0,14.0,0.0,279.8,0.0,47.1,0.0,17.0,50.0,0.0,0.0,-1.0,-1.8369701987210297e-16,3,0,0,0,1307.52,124.0,2861.38,82.0,0.0,0.0,0.0,0.0,0.0,0.0,1835.7933333333333,888.3189959318292,2861.38,1307.52,1835.7933333333333,888.3189959318292,2861.38,1307.52,1835.7933333333333,888.3189959318292,2861.38,1307.52,1711.465,2109.151428571429,0.0236784140969164,30.960000000000036,0.0,2
2022-10,2001.12,11.911428571428571,21.71870995291432,168,0.6,153.0,2022,10,2022-10-01,0.0,158.51999999999998,348.0,477.52,195.0,40.0,7.0,0.0,20.0,205.7,113.62,0.0,0.0,19.0,0.0,306.2,2.46,19.0,0.0,28.9,60.2,0.0,0.0,-0.8660254037844386,0.5000000000000001,4,0,0,0,1338.48,130.0,1307.52,124.0,2861.38,82.0,0.0,0.0,0.0,0.0,1549.04,391.81867643082,2001.12,1307.52,1877.125,730.0047847103469,2861.38,1307.52,1877.125,730.0047847103469,2861.38,1307.52,1856.2925,2078.285306122449,0.49506903353057186,662.6399999999999,0.0,3
2022-11,1017.81,6.9713013698630135,6.104827853620683,146,0.6,50.0,2022,11,2022-11-01,0.0,115.5,0.0,374.68,0.0,57.5,0.0,0.0,10.0,39.0,195.06,0.0,0.0,18.0,0.0,151.15,0.0,40.62,0.0,16.3,0.0,0.0,0.0,-0.5000000000000004,0.8660254037844384,4,0,0,0,2001.12,168.0,1338.48,130.0,1307.52,124.0,0.0,0.0,0.0,0.0,1452.47,501.46777473732016,2001.12,1017.81,1705.262,739.8409917813422,2861.38,1017.81,1705.262,739.8409917813422,2861.38,1017.81,1437.05125,1775.2923615160353,-0.4913798272967138,-983.31,0.0,4
2022-12,1605.53,10.996780821917808,22.050565867629437,146,0.5,200.0,2022,12,2022-12-01,0.0,129.0,207.0,412.63,170.0,12.5,0.0,0.0,113.0,89.0,251.78,0.0,30.0,18.79,0.0,64.8,0.0,28.03,0.0,24.0,55.0,0.0,0.0,-2.4492935982947064e-16,1.0,4,0,1,0,1017.81,146.0,2001.12,168.0,1338.48,130.0,0.0,0.0,0.0,0.0,1541.4866666666667,494.7734839634527,2001.12,1017.81,1688.64,662.9852938037163,2861.38,1017.81,1688.64,662.9852938037163,2861.38,1017.81,1521.290625,1726.7888296543108,0.5774358672050777,587.72,0.0,5
2023-01,2162.19,11.945801104972375,36.37318977617381,181,0.5,441.0,2023,1,2023-01-01,0.0,84.6,17.0,557.2,174.0,0.0,0.0,0.0,115.2,479.9,195.02,0.0,22.0,18.0,0.0,349.4,68.0,36.07,25.0,20.8,0.0,0.0,0.0,0.49999999999999994,0.8660254037844387,1,1,0,0,1605.53,146.0,1017.81,146.0,2001.12,168.0,2861.38,82.0,0.0,0.0,1595.1766666666665,572.2602465079442,2162.19,1017.81,1572.1083333333333,439.36322510727564,2162.19,1017.81,1756.2899999999997,631.131450122186,2861.38,1017.81,1841.7403125,1851.1891640387935,0.34671416915286546,556.6600000000001,0.0,6
2023-02,1540.84,11.413629629629629,21.232355189114738,135,0.44,181.0,2023,2,2023-02-01,0.0,180.03,59.0,223.95,181.0,55.0,12.0,0.0,18.0,79.1,209.21,0.0,5.5,11.25,0.0,247.3,98.0,21.5,0.0,20.0,0.0,0.0,120.0,0.8660254037844386,0.5000000000000001,1,0,0,0,2162.19,181.0,1605.53,146.0,1017.81,146.0,1307.52,124.0,0.0,0.0,1769.5199999999998,341.59697847024296,2162.19,1540.84,1610.995,421.21203766036876,2162.19,1017.81,1729.3587499999999,589.2583484695583,2861.38,1017.81,1691.29015625,1762.517974313424,-0.2873706751025581,-621.3500000000001,0.0,7
2023-03,2274.61,15.579520547945206,29.250879699879395,146,0.7,210.0,2023,3,2023-03-01,0.0,83.62,336.0,398.64,176.0,208.0,0.0,0.0,98.33999999999999,0.0,288.67,0.0,47.0,22.11,0.0,481.93,98.0,11.3,0.0,25.0,0.0,0.0,0.0,1.0,6.123233995736766e-17,1,0,0,0,1540.84,135.0,2162.19,181.0,1605.53,146.0,1338.48,130.0,0.0,0.0,1992.5466666666669,395.207222395205,2274.61,1540.84,1767.0166666666664,470.5659961224001,2274.61,1017.81,1789.9422222222222,580.392487929026,2861.38,1017.81,1982.9500781250001,1908.829981652446,0.4762142727343528,733.7700000000002,0.0,8
2023-04,2224.88,21.393076923076926,39.783236287031166,104,0.3,300.0,2023,4,2023-04-01,0.0,0.0,347.0,374.33,150.0,50.0,8.0,0.0,62.06,24.0,263.7,0.0,28.0,21.009999999999998,0.0,679.98,68.0,3.0,0.0,27.8,98.0,0.0,20.0,0.8660254037844387,-0.49999999999999983,2,0,0,0,2274.61,146.0,1540.84,135.0,2162.19,181.0,2001.12,168.0,0.0,0.0,2013.4433333333334,410.04109700532825,2274.61,1540.84,1804.3100000000002,500.7297651628072,2274.61,1017.81,1833.4360000000001,564.2199437020205,2861.38,1017.81,2103.9150390625,1999.1299868946044,-0.021863088617389392,-49.73000000000002,0.0,9
